Bitcoin, 2010-07-17, 2021-04-24T10:09:31.2320041Z 
US Dollar, 2010-07-17, 2021-04-24T10:09:31.1310418Z 
Zloty, 2011-04-05, 2021-04-24T10:08:48.1380000Z 
Euro, 2011-04-06, 2021-04-24T10:09:29.3804437Z 
Yuan Renminbi, 2011-06-13, 2021-04-24T10:06:00.1489272Z 
Yen, 2011-08-27, 2021-04-24T10:09:20.6037068Z 
Australian Dollar, 2011-09-02, 2021-04-24T10:09:08.3489936Z 
Swiss Franc, 2011-09-03, 2021-04-24T10:08:36.6169347Z 
Swedish Krona, 2011-09-04, 2021-04-23T14:00:00.0000000Z 
Pound Sterling, 2011-09-06, 2021-04-24T10:09:21.5652828Z 
Danish Krone, 2011-09-06, 2021-04-23T14:00:00.0000000Z 
Russian Ruble, 2011-09-11, 2021-04-24T10:09:28.2223263Z 
Singapore Dollar, 2011-09-18, 2021-04-24T10:09:10.7328214Z 
Canadian Dollar, 2011-09-27, 2021-04-24T10:08:51.6018584Z 
New Zealand Dollar, 2011-09-27, 2021-04-24T10:08:31.4539454Z 
Baht, 2011-10-13, 2021-04-24T10:09:04.7680902Z 
Leone, 2011-04-27, 2020-01-06T09:52:30.8182707Z 
NIS, 2013-03-15, 2021-04-24T10:05:49.3215897Z 
Litecoin, 2013-05-19, 2021-04-24T10:09:25.6042761Z 
Won, 2013-09-03, 2021-04-24T10:09:28.9680000Z 
VeChain (pre-swap), 2013-10-22, 2021-04-24T10:05:29.2414860Z 
Ripple, 2013-11-25, 2021-04-24T10:09:30.5265124Z 
Namecoin, 2013-11-29, 2021-04-24T10:03:13.9941537Z 
Tether, 2013-12-27, 2021-04-24T10:09:31.2320041Z 
Blakecoin, 2014-02-11, 2021-04-24T06:35:29.3959393Z 
DogeCoin, 2014-02-21, 2021-04-24T10:09:28.2223263Z 
Novacoin, 2014-04-20, 2021-04-24T10:07:29.5901963Z 
Feathercoin, 2014-04-20, 2021-04-24T10:03:11.4931530Z 
Peercoin, 2014-04-20, 2021-04-24T10:09:09.4332667Z 
Terracoin, 2014-04-20, 2021-04-24T09:20:06.0178481Z 
El Salvador Colon, 2014-07-14, 2021-04-24T08:40:14.6459893Z 
StrikeBitClub, 2014-07-18, 2021-04-22T00:00:35.0000000Z 
ORO, 2014-07-28, 2021-04-24T09:42:21.0816868Z 
Torcoin, 2014-07-30, 2021-04-24T09:05:53.2050680Z 
Bolivar Fuerte, 2014-08-15, 2021-04-19T11:00:56.5692980Z 
StarCoin, 2014-09-04, 2021-04-24T10:05:32.4082312Z 
BitShares, 2014-09-27, 2021-04-24T10:09:26.9128121Z 
Nxt, 2014-09-28, 2021-04-24T10:07:40.9120736Z 
Burst, 2014-10-11, 2021-04-24T10:02:38.5833138Z 
Pakistan Rupee, 2014-10-14, 2021-04-19T10:14:46.4827171Z 
bitCNY, 2014-11-20, 2021-04-09T22:20:02.7397781Z 
UCoin, 2014-12-09, 2021-04-24T09:56:18.3683687Z 
Brazilian Real, 2014-12-11, 2021-04-24T10:09:09.2255659Z 
Chilean Peso, 2014-12-12, 2021-04-24T10:07:44.4827184Z 
WINCOIN, 2014-04-26, 2020-08-28T07:22:01.2019314Z 
MonetaryUnit, 2014-12-28, 2021-04-24T10:08:34.4207612Z 
SongCoin, 2015-01-03, 2021-04-24T09:43:16.3008395Z 
PayCon, 2015-01-04, 2021-04-24T09:54:42.0579548Z 
NAVCoin, 2015-01-06, 2021-04-24T10:06:44.6160000Z 
MCC, 2015-01-19, 2021-04-24T10:09:18.6911077Z 
RICE, 2015-01-30, 2021-04-24T10:09:24.4343151Z 
