Bitcoin, 2010-07-17, 2021-04-17, 60466.713069986756
US Dollar, 2010-07-17, 2021-04-17, N/A
Zloty, 2011-04-05, 2021-04-17, 0.26048029166413633
Euro, 2011-04-06, 2021-04-17, 1.1920060753136723
Yuan Renminbi, 2011-06-13, 2021-04-17, 0.15360227236691187
Yen, 2011-08-27, 2021-04-17, 0.00917878792626518
Australian Dollar, 2011-09-02, 2021-04-17, 0.7609255129255597
Swiss Franc, 2011-09-03, 2021-04-17, 1.080826494448876
Swedish Krona, 2011-09-04, 2021-04-17, N/A
Pound Sterling, 2011-09-06, 2021-04-17, 1.3720610603564312
Danish Krone, 2011-09-06, 2021-04-16, N/A
Russian Ruble, 2011-09-11, 2021-04-17, 0.01304846504138755
Singapore Dollar, 2011-09-18, 2021-04-17, 0.7422036508596702
Canadian Dollar, 2011-09-27, 2021-04-17, 0.7958871128165909
New Zealand Dollar, 2011-09-27, 2021-04-17, 0.7064826203105156
Baht, 2011-10-13, 2021-04-17, 0.029645919934733703
Leone, 2011-04-27, 2020-01-06, N/A
NIS, 2013-03-15, 2021-04-17, 0.29751398574468274
Litecoin, 2013-05-19, 2021-04-17, 311.590200437376
Won, 2013-09-03, 2021-04-17, 0.0007783945107115036
VeChain (pre-swap), 2013-10-22, 2021-04-17, 0.22414802032104958
Ripple, 2013-11-25, 2021-04-17, 1.591180392277631
Namecoin, 2013-11-29, 2021-04-17, 2.8710811752384386
Tether, 2013-12-27, 2021-04-17, 1.0006370540341163
Blakecoin, 2014-02-11, 2021-04-17, N/A
DogeCoin, 2014-02-21, 2021-04-17, 0.26513104367666457
Novacoin, 2014-04-20, 2021-04-17, N/A
Feathercoin, 2014-04-20, 2021-04-17, 0.038396362799441586
Peercoin, 2014-04-20, 2021-04-17, 1.09143671699308
Terracoin, 2014-04-20, 2021-04-17, 0.01231417302087943
El Salvador Colon, 2014-07-14, 2021-04-17, 0.00012120839791552838
StrikeBitClub, 2014-07-18, 2021-04-14, N/A
ORO, 2014-07-28, 2021-04-17, 0.5925022702696914
Torcoin, 2014-07-30, 2021-04-17, N/A
StarCoin, 2014-09-04, 2021-04-17, 0.6008694315312381
BitShares, 2014-09-27, 2021-04-17, 0.14422701877069494
Nxt, 2014-09-28, 2021-04-17, 0.08213753501570029
Burst, 2014-10-11, 2021-04-17, 0.01360501044074702
Bolivar Fuerte, 2014-08-15, 2021-02-08, N/A
bitCNY, 2014-11-20, 2021-04-09, N/A
UCoin, 2014-12-09, 2021-04-17, N/A
Brazilian Real, 2014-12-11, 2021-04-17, 0.1747093814672468
Chilean Peso, 2014-12-12, 2021-04-17, 0.0013660499657945878
Pakistan Rupee, 2014-10-14, 2021-02-16, N/A
WINCOIN, 2014-04-26, 2020-08-28, N/A
MonetaryUnit, 2014-12-28, 2021-04-17, 0.022675017401245032
SongCoin, 2015-01-03, 2021-04-17, N/A
PayCon, 2015-01-04, 2021-04-17, 0.007415764503548495
NAVCoin, 2015-01-06, 2021-04-17, 0.7503471469058425
MCC, 2015-01-19, 2021-04-17, 0.0011562218157550675
RICE, 2015-01-30, 2021-04-17, 1.02013685950869
Bitcoin, 2010-07-17, 2021-04-17, 60466.713069986756
US Dollar, 2010-07-17, 2021-04-17, N/A
Zloty, 2011-04-05, 2021-04-17, 0.26048029166413633
Euro, 2011-04-06, 2021-04-17, 1.1920060753136723
Yuan Renminbi, 2011-06-13, 2021-04-17, 0.15360227236691187
Yen, 2011-08-27, 2021-04-17, 0.00917878792626518
Australian Dollar, 2011-09-02, 2021-04-17, 0.7609255129255597
Swiss Franc, 2011-09-03, 2021-04-17, 1.080826494448876
Swedish Krona, 2011-09-04, 2021-04-17, N/A
Pound Sterling, 2011-09-06, 2021-04-17, 1.3720610603564312
Danish Krone, 2011-09-06, 2021-04-16, N/A
Russian Ruble, 2011-09-11, 2021-04-17, 0.01304846504138755
Singapore Dollar, 2011-09-18, 2021-04-17, 0.7422036508596702
Canadian Dollar, 2011-09-27, 2021-04-17, 0.7958871128165909
New Zealand Dollar, 2011-09-27, 2021-04-17, 0.7064826203105156
Baht, 2011-10-13, 2021-04-17, 0.029645919934733703
Leone, 2011-04-27, 2020-01-06, N/A
NIS, 2013-03-15, 2021-04-17, 0.29751398574468274
Litecoin, 2013-05-19, 2021-04-17, 311.590200437376
Won, 2013-09-03, 2021-04-17, 0.0007783945107115036
VeChain (pre-swap), 2013-10-22, 2021-04-17, 0.22414802032104958
Ripple, 2013-11-25, 2021-04-17, 1.591180392277631
Namecoin, 2013-11-29, 2021-04-17, 2.8710811752384386
Tether, 2013-12-27, 2021-04-17, 1.0006370540341163
Blakecoin, 2014-02-11, 2021-04-17, N/A
DogeCoin, 2014-02-21, 2021-04-17, 0.26513104367666457
Novacoin, 2014-04-20, 2021-04-17, N/A
Feathercoin, 2014-04-20, 2021-04-17, 0.038396362799441586
Peercoin, 2014-04-20, 2021-04-17, 1.09143671699308
Terracoin, 2014-04-20, 2021-04-17, 0.01231417302087943
El Salvador Colon, 2014-07-14, 2021-04-17, 0.00012120839791552838
StrikeBitClub, 2014-07-18, 2021-04-14, N/A
ORO, 2014-07-28, 2021-04-17, 0.5925022702696914
Torcoin, 2014-07-30, 2021-04-17, N/A
StarCoin, 2014-09-04, 2021-04-17, 0.6008694315312381
BitShares, 2014-09-27, 2021-04-17, 0.14422701877069494
Nxt, 2014-09-28, 2021-04-17, 0.08213753501570029
Burst, 2014-10-11, 2021-04-17, 0.01360501044074702
Bolivar Fuerte, 2014-08-15, 2021-02-08, N/A
bitCNY, 2014-11-20, 2021-04-09, N/A
UCoin, 2014-12-09, 2021-04-17, N/A
Brazilian Real, 2014-12-11, 2021-04-17, 0.1747093814672468
Chilean Peso, 2014-12-12, 2021-04-17, 0.0013660499657945878
Pakistan Rupee, 2014-10-14, 2021-02-16, N/A
WINCOIN, 2014-04-26, 2020-08-28, N/A
MonetaryUnit, 2014-12-28, 2021-04-17, 0.022675017401245032
SongCoin, 2015-01-03, 2021-04-17, N/A
PayCon, 2015-01-04, 2021-04-17, 0.007415764503548495
NAVCoin, 2015-01-06, 2021-04-17, 0.7503471469058425
MCC, 2015-01-19, 2021-04-17, 0.0011562218157550675
RICE, 2015-01-30, 2021-04-17, 1.02013685950869
